epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6070.46,1.47234,0.85842,1.04805,0.74513,0.68995,0.74834,0.44583,1.41375,0.76336,1.0491,0.000660045,0.000660045,0.000660045
43,6233.4,1.47268,0.85094,1.04207,0.76973,0.67368,0.74866,0.44975,1.39897,0.76387,1.04319,0.000649046,0.000649046,0.000649046
44,6453.38,1.47038,0.84322,1.04179,0.7624,0.67513,0.74274,0.44101,1.40696,0.78237,1.04298,0.000638047,0.000638047,0.000638047
45,6546.16,1.47236,0.84365,1.04508,0.74848,0.68558,0.75298,0.4475,1.41877,0.78031,1.05117,0.000627048,0.000627048,0.000627048
46,6748.05,1.46995,0.84121,1.04474,0.75428,0.68252,0.75041,0.44936,1.40951,0.7771,1.04685,0.000616049,0.000616049,0.000616049
47,6913.24,1.4599,0.83585,1.03818,0.74832,0.68757,0.75596,0.45253,1.40015,0.77221,1.04098,0.000605051,0.000605051,0.000605051
48,7018.72,1.46044,0.83674,1.03846,0.75312,0.68594,0.75657,0.45745,1.38824,0.74985,1.03424,0.000594052,0.000594052,0.000594052
49,7190.04,1.46567,0.83325,1.03885,0.76314,0.67824,0.75777,0.45777,1.3942,0.76741,1.04042,0.000583053,0.000583053,0.000583053
50,7363.44,1.46562,0.83145,1.03841,0.76523,0.68923,0.75714,0.45863,1.39264,0.76267,1.03678,0.000572054,0.000572054,0.000572054
51,7444.89,1.45105,0.83049,1.03519,0.74989,0.70369,0.76234,0.45908,1.38512,0.74173,1.03367,0.000561055,0.000561055,0.000561055
52,7609.63,1.45122,0.82697,1.03591,0.77464,0.69167,0.76949,0.46666,1.38277,0.75517,1.03651,0.000550056,0.000550056,0.000550056
53,7769.54,1.44807,0.82433,1.03653,0.75462,0.70319,0.76482,0.46474,1.37991,0.73609,1.03337,0.000539057,0.000539057,0.000539057
54,7925.18,1.45554,0.82332,1.03399,0.76014,0.69501,0.76465,0.46014,1.40185,0.74716,1.03859,0.000528058,0.000528058,0.000528058
55,8090.86,1.45618,0.81965,1.03168,0.7755,0.69984,0.76951,0.46874,1.37208,0.73797,1.03082,0.000517059,0.000517059,0.000517059
56,8235.68,1.44463,0.81098,1.03085,0.76638,0.70042,0.76658,0.46667,1.37334,0.73499,1.02925,0.00050606,0.00050606,0.00050606
57,8458.46,1.43623,0.80763,1.02865,0.78492,0.69448,0.77307,0.47078,1.37812,0.73459,1.0343,0.000495062,0.000495062,0.000495062
58,8619.32,1.43087,0.81005,1.03197,0.78474,0.7015,0.7732,0.47491,1.36707,0.73319,1.02936,0.000484063,0.000484063,0.000484063
59,8720.9,1.442,0.80798,1.02718,0.7688,0.72306,0.78016,0.47835,1.35907,0.71985,1.02652,0.000473064,0.000473064,0.000473064
60,8885.01,1.42596,0.79873,1.02849,0.76246,0.70437,0.77371,0.47147,1.37326,0.7243,1.03166,0.000462065,0.000462065,0.000462065
61,9099.67,1.42608,0.79424,1.02783,0.77912,0.71435,0.78071,0.47948,1.35184,0.71734,1.02374,0.000451066,0.000451066,0.000451066
62,9252.76,1.42856,0.80239,1.02678,0.77465,0.72101,0.78404,0.47816,1.36585,0.7177,1.02442,0.000440067,0.000440067,0.000440067
63,9422.57,1.43611,0.8022,1.02802,0.79076,0.71198,0.7831,0.47879,1.35691,0.72449,1.02354,0.000429068,0.000429068,0.000429068
64,9601.14,1.43012,0.79656,1.02323,0.7763,0.72161,0.78126,0.4711,1.37658,0.72946,1.03239,0.000418069,0.000418069,0.000418069
65,9828.1,1.42164,0.79105,1.02139,0.79968,0.72007,0.79367,0.48858,1.3376,0.69517,1.01805,0.00040707,0.00040707,0.00040707
66,9932.05,1.41254,0.78521,1.02356,0.78889,0.72492,0.78645,0.48635,1.34131,0.69861,1.01897,0.000396071,0.000396071,0.000396071
67,10132.7,1.41676,0.78384,1.02329,0.78088,0.72597,0.78899,0.48462,1.35395,0.71045,1.02272,0.000385073,0.000385073,0.000385073
68,10258.3,1.41978,0.7818,1.02227,0.79019,0.72746,0.78608,0.48521,1.3442,0.70076,1.01842,0.000374074,0.000374074,0.000374074
69,10346.9,1.4101,0.77692,1.02445,0.79176,0.70982,0.78024,0.4756,1.3551,0.71474,1.0203,0.000363075,0.000363075,0.000363075
70,10513.3,1.41268,0.78198,1.02364,0.79848,0.72582,0.79685,0.49467,1.33095,0.68637,1.01507,0.000352076,0.000352076,0.000352076
71,10644,1.40328,0.77556,1.01852,0.79651,0.72742,0.79505,0.49422,1.33558,0.68844,1.01486,0.000341077,0.000341077,0.000341077
72,10805.8,1.40834,0.76883,1.0164,0.8096,0.72421,0.79958,0.49526,1.32893,0.6909,1.01056,0.000330078,0.000330078,0.000330078
73,10970.9,1.40226,0.77232,1.01608,0.80593,0.73111,0.80121,0.49754,1.33035,0.68587,1.01344,0.000319079,0.000319079,0.000319079
74,11051.3,1.39879,0.76289,1.01303,0.8089,0.72212,0.80001,0.49882,1.32959,0.68713,1.01157,0.00030808,0.00030808,0.00030808
75,11211.1,1.39877,0.76439,1.0153,0.79282,0.72697,0.80173,0.49368,1.33607,0.68979,1.01391,0.000297081,0.000297081,0.000297081
76,11374.9,1.40282,0.76311,1.01709,0.81047,0.73483,0.81129,0.50569,1.32083,0.67352,1.01064,0.000286083,0.000286083,0.000286083
77,11467.3,1.40082,0.76438,1.01633,0.81321,0.73784,0.81149,0.50562,1.31593,0.68188,1.00815,0.000275084,0.000275084,0.000275084
78,11634.2,1.38652,0.75534,1.01444,0.81665,0.7318,0.80558,0.50207,1.32255,0.67337,1.01026,0.000264085,0.000264085,0.000264085
79,11916.3,1.38473,0.75396,1.01169,0.79326,0.73871,0.80279,0.50264,1.31255,0.66741,1.00658,0.000253086,0.000253086,0.000253086
80,12097,1.379,0.75235,1.00896,0.80574,0.75212,0.81507,0.50952,1.31578,0.66717,1.00836,0.000242087,0.000242087,0.000242087
81,12304.1,1.3805,0.74794,1.00927,0.81476,0.73978,0.81384,0.51184,1.3063,0.66479,1.00328,0.000231088,0.000231088,0.000231088
